2022-09-16 11:25:54.344711 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\SessionLogs\tap 2022-09-16 11-25-53.txt'. [6.09 ms]
2022-09-16 11:25:57.251144 ; Package        ; Information ; Satisfying assembly reference to OpenTap by adding dependency on package OpenTAP
2022-09-16 11:25:57.251144 ; Package        ; Information ; Satisfying assembly reference to netstandard by adding dependency on package OpenTAP
2022-09-16 11:25:57.251144 ; Package        ; Information ; Adding dependency on package 'OpenTAP' version 9.18.5+0328e9b4
2022-09-16 11:25:57.259143 ; Package        ; Debug       ; Using temporary folder at 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2'
2022-09-16 11:25:57.265784 ; Package        ; Debug       ; Updating version info for 'MyOpenTapMain.dll' [2.85 ms]
2022-09-16 11:25:57.276595 ; Resolver       ; Debug       ; Found match for Mono.Cecil, Version=0.10.1.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\Dependencies\Mono.Cecil.0.10.1.0\Mono.Cecil.dll
2022-09-16 11:25:57.525636 ; Package        ; Debug       ; Updating version info for 'MyPluginChuck.dll' [262 ms]
2022-09-16 11:25:57.652969 ; Package        ; Debug       ; Updating version info for 'MyPluginGen.dll' [390 ms]
2022-09-16 11:25:57.697810 ; Package        ; Debug       ; Updating version info for 'MyOpenTapShare.dll' [434 ms]
2022-09-16 11:25:57.745676 ; Package        ; Debug       ; Updating version info for 'MyPluginVision.dll' [483 ms]
2022-09-16 11:25:57.790209 ; Package        ; Information ; Updated assembly version info using Mono method. [527 ms]
2022-09-16 11:25:57.797762 ; Package        ; Debug       ; Available custom actions for 'create' stage. (2 actions: OpenTap.Package.IncludePackageDependencies, OpenTap.Package.FileHashPackageAction)
2022-09-16 11:25:57.800762 ; Package        ; Information ; Package action IncludePackageDependencies completed [2.61 ms]
2022-09-16 11:25:57.816972 ; Package        ; Information ; Package action FileHashPackageAction completed [15.8 ms]
2022-09-16 11:25:57.816972 ; Package        ; Information ; Creating OpenTAP package.
2022-09-16 11:25:57.839193 ; Package        ; Debug       ; Compressed 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2\Versioned\MyOpenTapMain.dll' [12.9 ms]
2022-09-16 11:25:57.840679 ; Package        ; Debug       ; Compressed 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2\Versioned\MyPluginChuck.dll' [1.39 ms]
2022-09-16 11:25:57.841679 ; Package        ; Debug       ; Compressed 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2\Versioned\MyPluginGen.dll' [1.05 ms]
2022-09-16 11:25:57.842053 ; Package        ; Debug       ; Compressed 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2\Versioned\MyOpenTapShare.dll' [826 us]
2022-09-16 11:25:57.843836 ; Package        ; Debug       ; Compressed 'C:\Users\Jacky.Kuo\AppData\Local\Temp\ou1qvab3.vu2\Versioned\MyPluginVision.dll' [1.17 ms]
2022-09-16 11:25:58.006551 ; PackageAction  ; Information ; OpenTAP plugin package 'MyOpenTapMain.0.1.0-alpha.TapPackage' containing 'MyOpenTapMain' successfully created.
2022-09-16 11:25:58.022715 ; PackageAction  ; Information ; Installed 'MyOpenTapMain' (D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\Packages\MyOpenTapMain\package.xml)
2022-09-16 11:25:58.022715 ; CLI            ; Debug       ; CLI action returned exit code: 0 [2.44 s]
