2022-09-16 09:07:16.488672 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginVision\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [8.19 ms]
2022-09-16 11:11:31.159717 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-16 11:11:31.159717 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-16 11:11:31.160217 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-16 11:11:31.160217 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-16 11:11:31.160749 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-16 11:11:31.340384 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-16 11:11:31.403069 ; package        ; Debug       ; Decompressed bin/Release/Packages/CSV/Csv.dll [35.5 ms]
2022-09-16 11:11:31.452160 ; package        ; Debug       ; Decompressed bin/Release/Packages/CSV/package.xml [49.1 ms]
2022-09-16 11:11:31.465761 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:11:31.466261 ; Installer      ; Information ; Installed CSV version 9.11.0+98498e58 [125 ms]
2022-09-16 11:11:31.466838 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-16 11:11:31.515858 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.2.0.5231/.OpenTapIgnore [31.4 ms]
2022-09-16 11:11:31.592382 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.3.2.19/Keysight.Ccl.Licensing.Api.dll [75.9 ms]
2022-09-16 11:11:31.720888 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/x64/Keysight.Tap.Library.dll [128 ms]
2022-09-16 11:11:31.823727 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/x64/Keysight.Tap.Library.v9.dll [102 ms]
2022-09-16 11:11:31.855629 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll [31.7 ms]
2022-09-16 11:11:31.862217 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll.sig [6.74 ms]
2022-09-16 11:11:31.967253 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll [104 ms]
2022-09-16 11:11:31.969679 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll.sig [2.48 ms]
2022-09-16 11:11:31.999631 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll [29.8 ms]
2022-09-16 11:11:32.002254 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll.sig [2.78 ms]
2022-09-16 11:11:32.006826 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/package.xml [4.44 ms]
2022-09-16 11:11:32.010102 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:11:32.010102 ; Installer      ; Information ; Installed Keysight Licensing version 1.1.1+7a2a1fe3 [543 ms]
2022-09-16 11:11:32.010102 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-16 11:11:32.039343 ; package        ; Debug       ; Decompressed bin/Release/Packages/OSIntegration/OpenTap.OSIntegration.Windows.dll [21.8 ms]
2022-09-16 11:11:32.053686 ; package        ; Debug       ; Decompressed bin/Release/Packages/OSIntegration/package.xml [13.9 ms]
2022-09-16 11:11:32.053686 ; Plugin         ; Information ; Starting install step 'tap.exe path register'
2022-09-16 11:11:34.564329 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\SessionLogs\tap 2022-09-16 11-11-32.txt'. [15.7 ms]
2022-09-16 11:11:34.564829 ; Session        ; Debug       ; Running '"bin\Release\tap.exe" path register --verbose ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release'.
2022-09-16 11:11:34.564829 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 11:11:34.564829 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:11:34.564829 ; AssemblyFinder ; Debug       ; Found 9/39 assembly files. [29.6 ms]
2022-09-16 11:11:34.564829 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-16 11:11:34.564829 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:11:34.564892 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-16 11:11:34.564892 ; Searcher       ; Debug       ; Ordered 9 assemblies according to references. [327 ms]
2022-09-16 11:11:34.630400 ; AssemblyData   ; Debug       ; Loaded OpenTap. [596 us]
2022-09-16 11:11:34.737971 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [14.7 ms]
2022-09-16 11:11:34.846246 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\SessionLogs\SessionLog 2022-09-16 11-11-32.txt'. [16.8 ms]
2022-09-16 11:11:34.846246 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [18.8 ms]
2022-09-16 11:11:34.944709 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [10.5 ms]
2022-09-16 11:11:34.945168 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2022-09-16 11:11:34.945168 ; CLI            ; Debug       ; Executing CLI action: path \ register
2022-09-16 11:11:34.945168 ; PackageAction  ; Information ; Skipping OS Integration (OPENTAP_DEBUG_INSTALL environment variable is set).
2022-09-16 11:11:34.945168 ; CLI            ; Debug       ; CLI action returned exit code: 0 [4.51 ms]
2022-09-16 11:11:34.970898 ; Plugin         ; Information ; Succesfully ran install step  'tap.exe path register'.  [2.91 s]
2022-09-16 11:11:34.970898 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:11:34.970898 ; Installer      ; Information ; Installed OSIntegration version 1.4.2+15f32a31 [2.96 s]
2022-09-16 11:11:34.971906 ; Installer      ; Warning     ; Package 'OSIntegration' contains possibly relevant plugins for next package installations, but these will not be loaded.
2022-09-16 11:11:34.971906 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-16 11:11:35.021233 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Keysight.OpenTap.Sdk.MSBuild.dll [29.1 ms]
2022-09-16 11:11:35.050720 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/OpenTap.Sdk.New.dll [28.9 ms]
2022-09-16 11:11:35.098331 ; package        ; Debug       ; Decompressed bin/Release/OpenTap.xml [48.1 ms]
2022-09-16 11:11:35.123860 ; package        ; Debug       ; Decompressed bin/Release/OpenTap.Package.xml [24.9 ms]
2022-09-16 11:11:35.136701 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/PackageSchema.xsd [12.9 ms]
2022-09-16 11:11:35.248558 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/OpenTAP Developer Guide.pdf [111 ms]
2022-09-16 11:11:35.253251 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.OpenTapIgnore [4.52 ms]
2022-09-16 11:11:35.256959 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.HiddenFile.txt [3.91 ms]
2022-09-16 11:11:35.266671 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.HiddenFolder/Empty.txt [9.49 ms]
2022-09-16 11:11:35.273598 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/Examples.sln [6.88 ms]
2022-09-16 11:11:35.283213 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/Directory.Build.props [9.30 ms]
2022-09-16 11:11:35.292044 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/ExamplePlugin.csproj [9.07 ms]
2022-09-16 11:11:35.298699 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/GeneratorInstrument.cs [6.55 ms]
2022-09-16 11:11:35.310286 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/LowPassFilterDut.cs [11.2 ms]
2022-09-16 11:11:35.321857 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/MeasurePeakAmplitudeTestStep.cs [11.4 ms]
2022-09-16 11:11:35.332925 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/package.xml [11.0 ms]
2022-09-16 11:11:35.338409 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/SomeSampleData.txt [5.27 ms]
2022-09-16 11:11:35.347969 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/AssemblyInfo.cs [9.59 ms]
2022-09-16 11:11:35.352056 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/launchSettings.json [4.03 ms]
2022-09-16 11:11:35.359839 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/package.xml [7.59 ms]
2022-09-16 11:11:35.365970 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/PluginDevelopment.csproj [6.08 ms]
2022-09-16 11:11:35.379942 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/AttachedPropertyExample.cs [13.9 ms]
2022-09-16 11:11:35.391001 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/BreakSerializerExample.cs [11.2 ms]
2022-09-16 11:11:35.401979 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample1.cs [10.7 ms]
2022-09-16 11:11:35.414646 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample2.cs [12.3 ms]
2022-09-16 11:11:35.431410 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/MenuModelExample.cs [16.8 ms]
2022-09-16 11:11:35.438001 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ButtonCreation.cs [6.58 ms]
2022-09-16 11:11:35.446604 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/CustomBenchSettings.cs [8.81 ms]
2022-09-16 11:11:35.452643 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ExampleSettings.cs [5.62 ms]
2022-09-16 11:11:35.462294 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/IPAnnotation.cs [10.0 ms]
2022-09-16 11:11:35.467480 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/OpenTapPictureExample.cs [5.60 ms]
2022-09-16 11:11:35.473904 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/TestPlanCustomImportExport.cs [5.88 ms]
2022-09-16 11:11:35.486655 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/UserInputExample.cs [12.5 ms]
2022-09-16 11:11:35.499308 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ConnectionStep.cs [12.2 ms]
2022-09-16 11:11:35.504212 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/FourPortDut.cs [5.69 ms]
2022-09-16 11:11:35.517629 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/InterfaceBasedInstrument.cs [12.5 ms]
2022-09-16 11:11:35.529537 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/MeasureUsingConnectionsStep.cs [11.9 ms]
2022-09-16 11:11:35.536263 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ResourceTopology.cs [6.49 ms]
2022-09-16 11:11:35.550166 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ScpiInstrumentExample.cs [14.0 ms]
2022-09-16 11:11:35.556416 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchMatrixStep.cs [6.12 ms]
2022-09-16 11:11:35.568355 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchStep.cs [11.9 ms]
2022-09-16 11:11:35.575143 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleDut.cs [6.81 ms]
2022-09-16 11:11:35.586169 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleInstrument.cs [10.5 ms]
2022-09-16 11:11:35.594271 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SwitchMatrixInstrument.cs [7.99 ms]
2022-09-16 11:11:35.601569 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPortInstrument.cs [7.27 ms]
2022-09-16 11:11:35.616701 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPositionSwitchInstrument.cs [14.9 ms]
2022-09-16 11:11:35.622156 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/UsingDutAndInstStep.cs [5.42 ms]
2022-09-16 11:11:35.633022 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/AssemblyInfo.cs [11.0 ms]
2022-09-16 11:11:35.637293 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/launchSettings.json [4.34 ms]
2022-09-16 11:11:35.650422 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/EventResultListener.cs [12.9 ms]
2022-09-16 11:11:35.662264 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/ExampleResultListener.cs [11.6 ms]
2022-09-16 11:11:35.669560 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/AvailableValuesAttributeExample.cs [7.41 ms]
2022-09-16 11:11:35.679152 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/BrowsableAttributeExample.cs [9.31 ms]
2022-09-16 11:11:35.686653 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ColumnDisplayAttributeExample.cs [7.73 ms]
2022-09-16 11:11:35.698455 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DefaultValueExample.cs [11.6 ms]
2022-09-16 11:11:35.709256 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DisplayAttributeExample.cs [10.8 ms]
2022-09-16 11:11:35.717191 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DynamicNameDisplayAttribute.cs [7.64 ms]
2022-09-16 11:11:35.723467 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EmbedPropertiesAttributeExample.cs [6.43 ms]
2022-09-16 11:11:35.733511 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EnabledIfAttributeExample.cs [9.82 ms]
2022-09-16 11:11:35.743205 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/FlagsAttributeExample.cs [9.39 ms]
2022-09-16 11:11:35.750936 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/PathAttributeExample.cs [7.90 ms]
2022-09-16 11:11:35.762888 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ResourceOpenAttributeExample.cs [11.7 ms]
2022-09-16 11:11:35.769498 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ScpiAttributeExample.cs [6.70 ms]
2022-09-16 11:11:35.777770 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/UnitAttributeExample.cs [8.18 ms]
2022-09-16 11:11:35.786277 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/XmlIgnoreAttributeExample.cs [8.16 ms]
2022-09-16 11:11:35.800834 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/GenerateOutput.cs [14.5 ms]
2022-09-16 11:11:35.816166 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/HandleInput.cs [15.3 ms]
2022-09-16 11:11:35.828986 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ChildSeekingResources.cs [12.6 ms]
2022-09-16 11:11:35.833893 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentAnyChildren.cs [4.83 ms]
2022-09-16 11:11:35.838542 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentWithResources.cs [4.54 ms]
2022-09-16 11:11:35.849147 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsForXyArray.cs [10.6 ms]
2022-09-16 11:11:35.854502 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsWithCustomClass.cs [5.37 ms]
2022-09-16 11:11:35.863444 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SetOfNameValuePairs.cs [8.97 ms]
2022-09-16 11:11:35.868299 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SingleNameValuePair.cs [4.61 ms]
2022-09-16 11:11:35.875768 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AbortsTheTestPlan.cs [7.29 ms]
2022-09-16 11:11:35.887225 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AccessingComponentSettings.cs [11.4 ms]
2022-09-16 11:11:35.897176 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/DeferTaskStep.cs [10.1 ms]
