2022-09-16 11:11:53.114232 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\SessionLogs\MSBuild.24244 2022-09-16 11-11-33.txt'. [12.9 ms]
2022-09-16 11:12:03.217853 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:12:03.217853 ; AssemblyFinder ; Debug       ; Found 9/39 assembly files. [25.9 ms]
2022-09-16 11:12:03.217853 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-16 11:12:03.217853 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:12:03.217853 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-16 11:12:03.217853 ; Searcher       ; Debug       ; Ordered 9 assemblies according to references. [409 ms]
2022-09-16 11:12:03.287743 ; AssemblyData   ; Debug       ; Loaded OpenTap. [482 us]
2022-09-16 11:12:03.394510 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [13.7 ms]
2022-09-16 11:12:03.503695 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\SessionLogs\SessionLog 2022-09-16 11-12-01.txt'. [28.4 ms]
2022-09-16 11:12:03.503695 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [14.2 ms]
2022-09-16 11:12:03.610310 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [10.1 ms]
2022-09-16 11:12:03.666531 ; AssemblyData   ; Debug       ; Loaded mscorlib. [700 ns]
2022-09-16 11:12:03.666587 ; CLI            ; Debug       ; Executing CLI action: path \ register
2022-09-16 11:12:03.666587 ; PackageAction  ; Information ; Skipping OS Integration (OPENTAP_DEBUG_INSTALL environment variable is set).
2022-09-16 11:12:03.666587 ; CLI            ; Debug       ; CLI action returned exit code: 0 [3.29 ms]
2022-09-16 11:12:03.699660 ; Plugin         ; Information ; Succesfully ran install step  'tap.exe path register'.  [2.34 s]
2022-09-16 11:12:03.699660 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:12:03.699660 ; Installer      ; Information ; Installed OSIntegration version 1.4.2+15f32a31 [2.40 s]
2022-09-16 11:12:03.700705 ; Installer      ; Warning     ; Package 'OSIntegration' contains possibly relevant plugins for next package installations, but these will not be loaded.
2022-09-16 11:12:03.700705 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-16 11:12:03.760199 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Keysight.OpenTap.Sdk.MSBuild.dll [31.6 ms]
2022-09-16 11:12:03.794187 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/OpenTap.Sdk.New.dll [33.8 ms]
2022-09-16 11:12:03.844612 ; package        ; Debug       ; Decompressed bin/Release/OpenTap.xml [50.0 ms]
2022-09-16 11:12:03.868991 ; package        ; Debug       ; Decompressed bin/Release/OpenTap.Package.xml [24.3 ms]
2022-09-16 11:12:03.905470 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/PackageSchema.xsd [36.4 ms]
2022-09-16 11:12:04.043301 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/OpenTAP Developer Guide.pdf [137 ms]
2022-09-16 11:12:04.060147 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.OpenTapIgnore [17.1 ms]
2022-09-16 11:12:04.081935 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.HiddenFile.txt [21.5 ms]
2022-09-16 11:12:04.091735 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/.HiddenFolder/Empty.txt [9.70 ms]
2022-09-16 11:12:04.103405 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/Examples.sln [11.6 ms]
2022-09-16 11:12:04.115804 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/Directory.Build.props [12.3 ms]
2022-09-16 11:12:04.130403 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/ExamplePlugin.csproj [14.1 ms]
2022-09-16 11:12:04.142815 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/GeneratorInstrument.cs [12.5 ms]
2022-09-16 11:12:04.150889 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/LowPassFilterDut.cs [8.09 ms]
2022-09-16 11:12:04.169808 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/MeasurePeakAmplitudeTestStep.cs [19.0 ms]
2022-09-16 11:12:04.193173 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/package.xml [23.0 ms]
2022-09-16 11:12:04.202311 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/SomeSampleData.txt [9.14 ms]
2022-09-16 11:12:04.215113 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/AssemblyInfo.cs [12.8 ms]
2022-09-16 11:12:04.229036 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/launchSettings.json [13.8 ms]
2022-09-16 11:12:04.245917 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/package.xml [16.5 ms]
2022-09-16 11:12:04.265866 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/PluginDevelopment.csproj [19.9 ms]
2022-09-16 11:12:04.301322 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/AttachedPropertyExample.cs [35.6 ms]
2022-09-16 11:12:04.317508 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/BreakSerializerExample.cs [15.9 ms]
2022-09-16 11:12:04.343597 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample1.cs [26.0 ms]
2022-09-16 11:12:04.379076 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample2.cs [35.3 ms]
2022-09-16 11:12:04.409100 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/MenuModelExample.cs [29.9 ms]
2022-09-16 11:12:04.431239 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ButtonCreation.cs [22.0 ms]
2022-09-16 11:12:04.451250 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/CustomBenchSettings.cs [20.3 ms]
2022-09-16 11:12:04.462415 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ExampleSettings.cs [11.0 ms]
2022-09-16 11:12:04.495078 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/IPAnnotation.cs [32.4 ms]
2022-09-16 11:12:04.505335 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/OpenTapPictureExample.cs [9.68 ms]
2022-09-16 11:12:04.515449 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/TestPlanCustomImportExport.cs [9.77 ms]
2022-09-16 11:12:04.527458 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/UserInputExample.cs [12.0 ms]
2022-09-16 11:12:04.538261 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ConnectionStep.cs [10.8 ms]
2022-09-16 11:12:04.548283 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/FourPortDut.cs [9.84 ms]
2022-09-16 11:12:04.561449 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/InterfaceBasedInstrument.cs [12.9 ms]
2022-09-16 11:12:04.576942 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/MeasureUsingConnectionsStep.cs [15.6 ms]
2022-09-16 11:12:04.590701 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ResourceTopology.cs [13.8 ms]
2022-09-16 11:12:04.610357 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ScpiInstrumentExample.cs [19.2 ms]
2022-09-16 11:12:04.622607 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchMatrixStep.cs [12.2 ms]
2022-09-16 11:12:04.632007 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchStep.cs [9.45 ms]
2022-09-16 11:12:04.645310 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleDut.cs [13.1 ms]
2022-09-16 11:12:04.652107 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleInstrument.cs [6.65 ms]
2022-09-16 11:12:04.663333 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SwitchMatrixInstrument.cs [11.3 ms]
2022-09-16 11:12:04.675535 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPortInstrument.cs [12.1 ms]
2022-09-16 11:12:04.702593 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/TwoPositionSwitchInstrument.cs [27.2 ms]
2022-09-16 11:12:04.724355 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/UsingDutAndInstStep.cs [21.2 ms]
2022-09-16 11:12:04.764913 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/AssemblyInfo.cs [40.3 ms]
2022-09-16 11:12:04.777025 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/Properties/launchSettings.json [12.2 ms]
2022-09-16 11:12:04.798955 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/EventResultListener.cs [21.7 ms]
2022-09-16 11:12:04.812165 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/ResultListeners/ExampleResultListener.cs [13.3 ms]
2022-09-16 11:12:04.837971 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/AvailableValuesAttributeExample.cs [25.9 ms]
2022-09-16 11:12:04.850914 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/BrowsableAttributeExample.cs [12.6 ms]
2022-09-16 11:12:04.860313 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ColumnDisplayAttributeExample.cs [9.58 ms]
2022-09-16 11:12:04.880447 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DefaultValueExample.cs [20.0 ms]
2022-09-16 11:12:04.901364 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DisplayAttributeExample.cs [20.8 ms]
2022-09-16 11:12:04.918521 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/DynamicNameDisplayAttribute.cs [16.7 ms]
2022-09-16 11:12:04.931616 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EmbedPropertiesAttributeExample.cs [13.0 ms]
2022-09-16 11:12:04.946556 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/EnabledIfAttributeExample.cs [14.9 ms]
2022-09-16 11:12:04.961786 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/FlagsAttributeExample.cs [15.3 ms]
2022-09-16 11:12:04.972667 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/PathAttributeExample.cs [10.5 ms]
2022-09-16 11:12:05.005995 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ResourceOpenAttributeExample.cs [33.5 ms]
2022-09-16 11:12:05.030740 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/ScpiAttributeExample.cs [24.1 ms]
2022-09-16 11:12:05.039507 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/UnitAttributeExample.cs [8.84 ms]
2022-09-16 11:12:05.052445 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Attributes/XmlIgnoreAttributeExample.cs [13.1 ms]
2022-09-16 11:12:05.065764 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/GenerateOutput.cs [12.9 ms]
2022-09-16 11:12:05.076729 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/InputOutput/HandleInput.cs [11.2 ms]
2022-09-16 11:12:05.088543 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ChildSeekingResources.cs [11.3 ms]
2022-09-16 11:12:05.099422 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentAnyChildren.cs [10.8 ms]
2022-09-16 11:12:05.109465 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/ParentChild/ParentWithResources.cs [10.1 ms]
2022-09-16 11:12:05.123202 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsForXyArray.cs [13.5 ms]
2022-09-16 11:12:05.134565 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/ResultsWithCustomClass.cs [11.0 ms]
2022-09-16 11:12:05.159011 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SetOfNameValuePairs.cs [24.2 ms]
2022-09-16 11:12:05.167083 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/PublishResults/SingleNameValuePair.cs [8.11 ms]
2022-09-16 11:12:05.182948 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AbortsTheTestPlan.cs [15.7 ms]
2022-09-16 11:12:05.193977 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/AccessingComponentSettings.cs [11.0 ms]
2022-09-16 11:12:05.209471 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/DeferTaskStep.cs [15.5 ms]
2022-09-16 11:12:05.221791 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/LogMessages.cs [12.3 ms]
2022-09-16 11:12:05.237934 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/OfferBreakExample.cs [16.0 ms]
2022-09-16 11:12:05.262079 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Execution/SetVerdict.cs [23.7 ms]
2022-09-16 11:12:05.270949 ; package        ; Debug       ; Decompressed bin/Release/Packages/SDK/Examples/PluginDevelopment/TestSteps/Step Settings/EnabledCheckBoxes.cs [8.91 ms]
