2022-09-16 11:00:38.001278 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\tap 2022-09-16 11-00-37.txt'. [10.6 ms]
2022-09-16 11:00:38.521669 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-09-16 11:00:38.521669 ; PluginManager  ; Debug       ; Searched 12 Assemblies. [353 ms]
2022-09-16 11:00:38.568952 ; AssemblyData   ; Debug       ; Loaded OpenTap. [1.54 ms]
2022-09-16 11:00:38.594873 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [12.2 ms]
2022-09-16 11:00:38.658374 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [13.3 ms]
2022-09-16 11:00:38.661670 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [16.8 ms]
2022-09-16 11:00:38.711719 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [17.8 ms]
2022-09-16 11:00:38.808370 ; AssemblyData   ; Debug       ; Loaded mscorlib. [500 ns]
2022-09-16 11:00:39.026801 ; Settings       ; Debug       ; EngineSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\Engine.xml [405 ms]
2022-09-16 11:00:39.058238 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\SessionLog 2022-09-16 11-00-37.txt'. [17.1 ms]
2022-09-16 11:00:39.089279 ; AssemblyData   ; Debug       ; Loaded PackageManager. [15.8 ms]
2022-09-16 11:00:39.112785 ; CLI            ; Debug       ; Executing CLI action: packagemanager
2022-09-16 11:00:42.079408 ; CLI            ; Debug       ; Executing CLI action: package \ check-updates
2022-09-16 11:00:42.089988 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.79 ms]
2022-09-16 11:00:42.134811 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [2.02 ms]
2022-09-16 11:00:46.112916 ; UpdateCheck    ; Information ; Updates available for:
2022-09-16 11:00:46.112916 ; UpdateCheck    ; Information ;  - Keysight Licensing: 1.1.1+7a2a1fe3 -> 1.2.2+b06a51aa
2022-09-16 11:00:46.112916 ; UpdateCheck    ; Information ;  - Visual Studio SDK CE: 1.2.6+ef0ad804 -> 1.4.0+4b5f3d34
2022-09-16 11:00:46.112916 ; UpdateCheck    ; Information ;  - WPF Controls: 9.17.4+5e508f08 -> 9.18.4+d4f8248d
2022-09-16 11:00:46.112916 ; UpdateCheck    ; Information ;  - SDK: 9.17.4+ea67c63a -> 9.18.5+0328e9b4
2022-09-16 11:00:46.112916 ; CLI            ; Debug       ; CLI action returned exit code: 0 [4.03 s]
2022-09-16 11:03:33.327375 ; CLI            ; Debug       ; CLI action returned exit code: 0 [174 s]
